GET_PID_POINT_x;GET_PID_POINT_y;GET_ADC_2_x;GET_ADC_2_y;GET_CURRENT_x;GET_CURRENT_y
0;400;0;447;0;296
1;400;1;447;1;298
2;400;2;441;2;294
3;400;3;456;3;292
4;400;4;446;4;296
5;400;5;446;5;294
6;400;6;441;6;296
7;400;7;443;7;298
8;400;8;450;8;298
9;400;9;433;9;300
10;400;10;427;10;292
11;400;11;423;11;294
12;400;12;421;12;294
13;400;13;418;13;298
14;400;14;421;14;294
15;400;15;424;15;298
16;400;16;426;16;292
17;400;17;422;17;298
18;400;18;425;18;296
19;400;19;430;19;292
20;400;20;429;20;294
21;400;21;430;21;296
22;400;22;426;22;294
23;400;23;433;23;294
24;400;24;436;24;296
25;400;25;436;25;296
26;400;26;429;26;294
27;400;27;427;27;296
28;400;28;433;28;296
29;400;29;437;29;298
30;400;30;432;30;294
31;400;31;431;31;294
32;400;32;433;32;296
33;400;33;430;33;294
34;400;34;427;34;300
35;400;35;431;35;298
36;400;36;433;36;296
37;400;37;429;37;296
38;400;38;435;38;292
39;400;39;432;39;294
40;400;40;456;40;296
41;400;41;430;41;290
42;400;42;433;42;296
43;400;43;418;43;296
44;400;44;430;44;296
45;400;45;429;45;292
46;400;46;427;46;292
47;400;47;442;47;296
48;400;48;420;48;292
49;400;49;427;49;294
50;400;50;425;50;298
51;400;51;422;51;302
52;400;52;425;52;292
53;400;53;417;53;290
54;400;54;416;54;294
55;400;55;415;55;294
56;400;56;416;56;298
57;400;57;410;57;298
58;400;58;404;58;298
59;400;59;408;59;294
60;400;60;402;60;294
61;400;61;401;61;294
62;400;62;394;62;298
63;400;63;393;63;290
64;400;64;384;64;294
65;400;65;381;65;290
66;400;66;378;66;292
67;400;67;381;67;294
68;400;68;371;68;294
69;400;69;364;69;292
70;400;70;363;70;296
71;400;71;352;71;296
72;400;72;349;72;292
73;400;73;342;73;296
74;400;74;329;74;298
75;400;75;324;75;294
76;400;76;313;76;294
77;400;77;305;77;294
78;400;78;296;78;296
79;400;79;280;79;292
80;400;80;287;80;300
81;400;81;289;81;294
82;400;82;294;82;292
83;400;83;294;83;292
84;400;84;296;84;296
85;400;85;301;85;294
86;400;86;306;86;294
87;400;87;304;87;296
88;400;88;315;88;296
89;400;89;318;89;292
90;400;90;319;90;296
91;400;91;318;91;294
92;400;92;319;92;292
93;400;93;325;93;296
94;400;94;327;94;294
95;400;95;330;95;292
96;400;96;328;96;298
97;400;97;332;97;290
98;400;98;337;98;296
99;400;99;335;99;300
100;400;100;336;100;296
101;400;101;338;101;296
102;400;102;338;102;296
103;400;103;342;103;298
104;400;104;344;104;292
105;400;105;348;105;296
106;400;106;345;106;292
107;400;107;350;107;292
108;400;108;354;108;296
109;400;109;348;109;292
110;400;110;351;110;296
111;400;111;362;111;298
112;400;112;355;112;296
113;400;113;362;113;294
114;400;114;359;114;302
115;400;115;383;115;296
116;400;116;360;116;296
117;400;117;367;117;298
118;400;118;367;118;296
119;400;119;362;119;296
120;400;120;367;120;296
121;400;121;367;121;298
122;400;122;373;122;294
123;400;123;380;123;294
124;400;124;372;124;298
125;400;125;375;125;296
